model,batch_size,sequence_length,result
mBERT_cased,32,512,1.0518
XLM-R_base,1,1,0.0238
XLM-R_base,1,2,0.0248
XLM-R_base,1,4,0.0251
XLM-R_base,1,8,0.0245
XLM-R_base,1,16,0.0252
XLM-R_base,1,32,0.0251
XLM-R_base,1,64,0.0246
XLM-R_base,1,128,0.0249
XLM-R_base,1,256,0.0368
XLM-R_base,1,512,0.0623
XLM-R_base,2,1,0.0239
XLM-R_base,2,2,0.0259
XLM-R_base,2,4,0.0258
XLM-R_base,2,8,0.0249
XLM-R_base,2,16,0.0254
XLM-R_base,2,32,0.0255
XLM-R_base,2,64,0.0257
XLM-R_base,2,128,0.0367
XLM-R_base,2,256,0.0609
XLM-R_base,2,512,0.1117
XLM-R_base,4,1,0.0242
XLM-R_base,4,2,0.0257
XLM-R_base,4,4,0.0254
XLM-R_base,4,8,0.0259
XLM-R_base,4,16,0.0256
XLM-R_base,4,32,0.0264
XLM-R_base,4,64,0.0365
XLM-R_base,4,128,0.0601
XLM-R_base,4,256,0.1078
XLM-R_base,4,512,0.2120
XLM-R_base,8,1,0.0236
XLM-R_base,8,2,0.0252
XLM-R_base,8,4,0.0260
XLM-R_base,8,8,0.0260
XLM-R_base,8,16,0.0263
XLM-R_base,8,32,0.0368
XLM-R_base,8,64,0.0595
XLM-R_base,8,128,0.1053
XLM-R_base,8,256,0.2053
XLM-R_base,8,512,0.4589
XLM-R_base,16,1,0.0247
XLM-R_base,16,2,0.0262
XLM-R_base,16,4,0.0252
XLM-R_base,16,8,0.0259
XLM-R_base,16,16,0.0370
XLM-R_base,16,32,0.0593
XLM-R_base,16,64,0.1050
XLM-R_base,16,128,0.2030
XLM-R_base,16,256,0.4440
XLM-R_base,16,512,0.9070
XLM-R_base,32,1,0.0243
XLM-R_base,32,2,0.0256
XLM-R_base,32,4,0.0259
XLM-R_base,32,8,0.0367
XLM-R_base,32,16,0.0606
XLM-R_base,32,32,0.1052
XLM-R_base,32,64,0.2005
XLM-R_base,32,128,0.4371
XLM-R_base,32,256,0.8783
XLM-R_base,32,512,N/A
XLM-R_large,1,1,0.0382
XLM-R_large,1,2,0.0394
XLM-R_large,1,4,0.0397
XLM-R_large,1,8,0.0397
XLM-R_large,1,16,0.0397
XLM-R_large,1,32,0.0413
XLM-R_large,1,64,0.0401
XLM-R_large,1,128,0.0415
XLM-R_large,1,256,0.0574
XLM-R_large,1,512,0.1014
XLM-R_large,2,1,0.0387
XLM-R_large,2,2,0.0407
XLM-R_large,2,4,0.0411
XLM-R_large,2,8,0.0418
XLM-R_large,2,16,0.0420
XLM-R_large,2,32,0.0414
XLM-R_large,2,64,0.0418
XLM-R_large,2,128,0.0570
XLM-R_large,2,256,0.0978
XLM-R_large,2,512,0.1840
XLM-R_large,4,1,0.0386
XLM-R_large,4,2,0.0409
XLM-R_large,4,4,0.0411
XLM-R_large,4,8,0.0422
XLM-R_large,4,16,0.0419
XLM-R_large,4,32,0.0410
XLM-R_large,4,64,0.0565
XLM-R_large,4,128,0.0947
XLM-R_large,4,256,0.1741
XLM-R_large,4,512,0.3546
XLM-R_large,8,1,0.0389
XLM-R_large,8,2,0.0409
XLM-R_large,8,4,0.0417
XLM-R_large,8,8,0.0418
XLM-R_large,8,16,0.0413
XLM-R_large,8,32,0.0566
XLM-R_large,8,64,0.0938
XLM-R_large,8,128,0.1703
XLM-R_large,8,256,0.3358
XLM-R_large,8,512,0.7036
XLM-R_large,16,1,0.0392
XLM-R_large,16,2,0.0421
XLM-R_large,16,4,0.0417
XLM-R_large,16,8,0.0419
XLM-R_large,16,16,0.0579
XLM-R_large,16,32,0.0938
XLM-R_large,16,64,0.1674
XLM-R_large,16,128,0.3269
XLM-R_large,16,256,0.6666
XLM-R_large,16,512,1.4302
XLM-R_large,32,1,0.0394
XLM-R_large,32,2,0.0422
XLM-R_large,32,4,0.0415
XLM-R_large,32,8,0.0579
XLM-R_large,32,16,0.0962
XLM-R_large,32,32,0.1657
XLM-R_large,32,64,0.3223
XLM-R_large,32,128,0.6484
XLM-R_large,32,256,1.3534
XLM-R_large,32,512,N/A
GPT-2,1,1,0.0267
GPT-2,1,2,0.0245
GPT-2,1,4,0.0275
GPT-2,1,8,0.0243
GPT-2,1,16,0.0264
GPT-2,1,32,0.0267
GPT-2,1,64,0.0246
GPT-2,1,128,0.0244
GPT-2,1,256,0.0239
GPT-2,1,512,0.0260
GPT-2,2,1,0.0236
GPT-2,2,2,0.0280
GPT-2,2,4,0.0275
GPT-2,2,8,0.0276
GPT-2,2,16,0.0280
GPT-2,2,32,0.0281
GPT-2,2,64,0.0253
GPT-2,2,128,0.0278
GPT-2,2,256,0.0254
GPT-2,2,512,0.0472
GPT-2,4,1,0.0237
GPT-2,4,2,0.0280
GPT-2,4,4,0.0283
GPT-2,4,8,0.0278
GPT-2,4,16,0.0285
GPT-2,4,32,0.0256
GPT-2,4,64,0.0276
GPT-2,4,128,0.0282
GPT-2,4,256,0.0434
GPT-2,4,512,0.0878
GPT-2,8,1,0.0239
GPT-2,8,2,0.0245
GPT-2,8,4,0.0253
GPT-2,8,8,0.0257
GPT-2,8,16,0.0277
GPT-2,8,32,0.0253
GPT-2,8,64,0.0260
GPT-2,8,128,0.0410
GPT-2,8,256,0.0806
GPT-2,8,512,0.1825
GPT-2,16,1,0.0242
GPT-2,16,2,0.0251
GPT-2,16,4,0.0280
GPT-2,16,8,0.0277
GPT-2,16,16,0.0246
GPT-2,16,32,0.0278
GPT-2,16,64,0.0404
GPT-2,16,128,0.0767
GPT-2,16,256,0.1665
GPT-2,16,512,0.3576
GPT-2,32,1,0.0240
GPT-2,32,2,0.0257
GPT-2,32,4,0.0277
GPT-2,32,8,0.0253
GPT-2,32,16,0.0279
GPT-2,32,32,0.0403
GPT-2,32,64,0.0742
GPT-2,32,128,0.1585
GPT-2,32,256,0.3245
GPT-2,32,512,0.7170
