model,batch_size,sequence_length,result
BART_large,1,256,0.0228
BART_large,1,512,0.0454
BART_large,2,1,0.0116
BART_large,2,2,0.0133
BART_large,2,4,0.0146
BART_large,2,8,0.0146
BART_large,2,16,0.0146
BART_large,2,32,0.0148
BART_large,2,64,0.0151
BART_large,2,128,0.0220
BART_large,2,256,0.0413
BART_large,2,512,0.0837
BART_large,4,1,0.0115
BART_large,4,2,0.0148
BART_large,4,4,0.0145
BART_large,4,8,0.0147
BART_large,4,16,0.0148
BART_large,4,32,0.0153
BART_large,4,64,0.0214
BART_large,4,128,0.0393
BART_large,4,256,0.0778
BART_large,4,512,0.1629
BART_large,8,1,0.0127
BART_large,8,2,0.0146
BART_large,8,4,0.0147
BART_large,8,8,0.0148
BART_large,8,16,0.0148
BART_large,8,32,0.0216
BART_large,8,64,0.0385
BART_large,8,128,0.0766
BART_large,8,256,0.1489
BART_large,8,512,0.3162
BART_large,16,1,0.0125
BART_large,16,2,0.0145
BART_large,16,4,0.0145
BART_large,16,8,0.0147
BART_large,16,16,0.0216
BART_large,16,32,0.0384
BART_large,16,64,0.0729
BART_large,16,128,0.1434
BART_large,16,256,0.2904
BART_large,16,512,0.6290
BART_large,32,1,0.0127
BART_large,32,2,0.0148
BART_large,32,4,0.0147
BART_large,32,8,0.0214
BART_large,32,16,0.0387
BART_large,32,32,0.0729
BART_large,32,64,0.1412
BART_large,32,128,0.2772
BART_large,32,256,0.5730
BART_large,32,512,1.2364
mBART_large,1,1,0.0108
mBART_large,1,2,0.0137
mBART_large,1,4,0.0137
mBART_large,1,8,0.0151
mBART_large,1,16,0.0148
mBART_large,1,32,0.0151
mBART_large,1,64,0.0174
mBART_large,1,128,0.0205
mBART_large,1,256,0.0338
mBART_large,1,512,0.0661
mBART_large,2,1,0.0117
mBART_large,2,2,0.0137
mBART_large,2,4,0.0149
mBART_large,2,8,0.0149
mBART_large,2,16,0.0150
mBART_large,2,32,0.0175
mBART_large,2,64,0.0203
mBART_large,2,128,0.0329
mBART_large,2,256,0.0623
mBART_large,2,512,0.1237
mBART_large,4,1,0.0117
mBART_large,4,2,0.0152
mBART_large,4,4,0.0147
mBART_large,4,8,0.0150
mBART_large,4,16,0.0173
mBART_large,4,32,0.0204
mBART_large,4,64,0.0323
mBART_large,4,128,0.0605
mBART_large,4,256,0.1169
mBART_large,4,512,0.2390
mBART_large,8,1,0.0130
mBART_large,8,2,0.0149
mBART_large,8,4,0.0147
mBART_large,8,8,0.0173
mBART_large,8,16,0.0201
mBART_large,8,32,0.0324
mBART_large,8,64,0.0593
mBART_large,8,128,0.1147
mBART_large,8,256,0.2258
mBART_large,8,512,0.4707
mBART_large,16,1,0.0129
mBART_large,16,2,0.0150
mBART_large,16,4,0.0173
mBART_large,16,8,0.0200
mBART_large,16,16,0.0325
mBART_large,16,32,0.0589
mBART_large,16,64,0.1125
mBART_large,16,128,0.2189
mBART_large,16,256,0.4434
mBART_large,16,512,0.9367
mBART_large,32,1,0.0130
mBART_large,32,2,0.0172
mBART_large,32,4,0.0200
mBART_large,32,8,0.0324
mBART_large,32,16,0.0595
mBART_large,32,32,0.1131
mBART_large,32,64,0.2167
mBART_large,32,128,0.4315
mBART_large,32,256,0.8828
mBART_large,32,512,1.8648
