model,batch_size,sequence_length,result
MiniLM,1,2,0.0056
MiniLM,1,4,0.0061
MiniLM,1,8,0.0061
MiniLM,1,16,0.0065
MiniLM,1,32,0.0069
MiniLM,1,64,0.0071
MiniLM,1,128,0.0072
MiniLM,1,256,0.0071
MiniLM,1,512,0.0076
MiniLM,2,1,0.0054
MiniLM,2,2,0.0065
MiniLM,2,4,0.0064
MiniLM,2,8,0.0068
MiniLM,2,16,0.0072
MiniLM,2,32,0.0074
MiniLM,2,64,0.0075
MiniLM,2,128,0.0074
MiniLM,2,256,0.0074
MiniLM,2,512,0.0101
MiniLM,4,1,0.0059
MiniLM,4,2,0.0065
MiniLM,4,4,0.0068
MiniLM,4,8,0.0071
MiniLM,4,16,0.0072
MiniLM,4,32,0.0074
MiniLM,4,64,0.0074
MiniLM,4,128,0.0075
MiniLM,4,256,0.0083
MiniLM,4,512,0.0189
MiniLM,8,1,0.0059
MiniLM,8,2,0.0068
MiniLM,8,4,0.0072
MiniLM,8,8,0.0072
MiniLM,8,16,0.0073
MiniLM,8,32,0.0073
MiniLM,8,64,0.0075
MiniLM,8,128,0.0076
MiniLM,8,256,0.0151
MiniLM,8,512,0.0325
MiniLM,16,1,0.0062
MiniLM,16,2,0.0071
MiniLM,16,4,0.0072
MiniLM,16,8,0.0074
MiniLM,16,16,0.0072
MiniLM,16,32,0.0075
MiniLM,16,64,0.0075
MiniLM,16,128,0.0131
MiniLM,16,256,0.0262
MiniLM,16,512,0.0617
MiniLM,32,1,0.0067
MiniLM,32,2,0.0072
MiniLM,32,4,0.0074
MiniLM,32,8,0.0072
MiniLM,32,16,0.0073
MiniLM,32,32,0.0076
MiniLM,32,64,0.0121
MiniLM,32,128,0.0227
MiniLM,32,256,0.0485
MiniLM,32,512,0.1188
MiniLM_multilingual,1,1,0.0054
MiniLM_multilingual,1,2,0.0056
MiniLM_multilingual,1,4,0.0062
MiniLM_multilingual,1,8,0.0061
MiniLM_multilingual,1,16,0.0064
MiniLM_multilingual,1,32,0.0069
MiniLM_multilingual,1,64,0.0069
MiniLM_multilingual,1,128,0.0071
MiniLM_multilingual,1,256,0.0070
MiniLM_multilingual,1,512,0.0074
MiniLM_multilingual,2,1,0.0055
